色名,よみ,系統色名,マンセル値,PCCSトーン,説明,RGB,列 1,列 2,列 3,列 4,列 5
琥珀色,こはくいろ,くすんだ赤みの黄,8YR 5.5/6.5,d6,琥珀は植物の樹脂が化石になったもので、そのような色を表す。古名は赤玉、または「くはく」といった。日本語の色名で宝石からとられたものは珍しいが、色名として用いられたのは近代のこと。酒類の色を形容するときによく使われる。,#C67400,琥珀は植物の樹脂が化石になったもので、そのような色を表す。,古名は赤玉、または「くはく」といった。,日本語の色名で宝石からとられたものは珍しいが、色名として用いられたのは近代のこと。,酒類の色を形容するときによく使われる。,
朽葉色,くちばいろ,灰みの赤みを帯びた黄,10YR 5/2,g6,朽ちた落ち葉のような色。この色を中心に、赤みがあれば赤朽葉、黄みは黄朽葉、緑みがあれば青朽葉と呼び分けた。ほかにも朽葉のつく色名がいくつかある。伝統的な色名の中でも特に晩秋の季節感が濃厚な、平安中期からの色名。,#897868,朽ちた落ち葉のような色。,この色を中心に、赤みがあれば赤朽葉、黄みは黄朽葉、緑みがあれば青朽葉と呼び分けた。,ほかにも朽葉のつく色名がいくつかある。,伝統的な色名の中でも特に晩秋の季節感が濃厚な、平安中期からの色名。,
鬱金色,うこんいろ,つよい黄,2Y 7.5/12,v7,ショウガ科の植物であるウコンの根で染めた黄の色名。ウコンは原産地の熱帯アジアでは古くから知られていたが、日本では中世末から用いられるようになった。今でも漬物のたくあんの着色やカレー粉の原料などに使用されている。,#FCAC00,ショウガ科の植物であるウコンの根で染めた黄の色名。,ウコンは原産地の熱帯アジアでは古くから知られていたが、日本では中世末から用いられるようになった。,今でも漬物のたくあんの着色やカレー粉の原料などに使用されている。,,
刈安色,かりやすいろ,薄い緑みの黄,7Y 8.5/7,lt8+,奈良時代から黄の染色に用いられてきたイネ科の刈安草は、刈りやすいからこの名がつけられたという。単独で黄を染めるほか、緑を染めるための藍の下染めによく用いられた。古来の染色技術から生まれた伝統的な色名。,#EED67E,奈良時代から黄の染色に用いられてきたイネ科の刈安草は、刈りやすいからこの名がつけられたという。,単独で黄を染めるほか、緑を染めるための藍の下染めによく用いられた。,古来の染色技術から生まれた伝統的な色名。,,
黄蘗色,きはだいろ,明るい黄緑,9Y 8/8,lt10+,ミカン科の樹木キハダの樹皮の内皮の黄色素を染料として染めた色の色名。防虫効果があることから奈良時代から染め紙に用いられ、藍との重ね染めで緑や藍色の染色にも用いられていた。古来の染色材料を今に記録する伝統的な色名の一つ。,#D9CB65,ミカン科の樹木キハダの樹皮の内皮の黄色素を染料として染めた色の色名。,防虫効果があることから奈良時代から染め紙に用いられ、藍との重ね染めで緑や藍色の染色にも用いられていた。,古来の染色材料を今に記録する伝統的な色名の一つ。,,
海松色,みるいろ,暗い灰みの黄緑,9.5Y 4.5/2.5,g10,海藻の一種であるミルは、「万葉集」に海松を詠みこんだ歌が出てくるほど、広く知られていたらしい。現在では一般的になじみがなくなってしまったが、中世以降はオリーブグリーンの色あいを表す、伝統的な色名の代表だった。,#736F55,海藻の一種であるミルは、「万葉集」に海松を詠みこんだ歌が出てくるほど、広く知られていたらしい。,現在では一般的になじみがなくなってしまったが、中世以降はオリーブグリーンの色あいを表す、伝統的な色名の代表だった。,,,
鶸色,ひわいろ,つよい黄緑,1GY 7.5/8,b10,黄緑色をした小鳥のヒワの羽の色から名づけられた色名。鳥の羽毛からとられた色名としては古く、中世の終わりには用いられていたとされる。カナリヤが渡来する前は唯一の黄色い鳥だったので金翅雀色と書かれている例もある。,#C2C05C,黄緑色をした小鳥のヒワの羽の色から名づけられた色名。,鳥の羽毛からとられた色名としては古く、中世の終わりには用いられていたとされる。,カナリヤが渡来する前は唯一の黄色い鳥だったので金翅雀色と書かれている例もある。,,
常磐色,ときわいろ,こい緑,3G 4.5/7,dp12,松や杉といった常緑樹の葉のような色を表す色名。常緑樹の葉の色が緑色で年中変わらないところから、永久に変わらない色という美称として用いられた。英語のエバーグリーンの同類である。,#357C4C,松や杉といった常緑樹の葉のような色を表す色名。,常緑樹の葉の色が緑色で年中変わらないところから、永久に変わらない色という美称として用いられた。,英語のエバーグリーンの同類である。,,
緑青色,ろくしょういろ,くすんだ緑,4G 5/4,d12,石緑（せきりょく）、孔雀（くじゃく）石からつくられる緑色の色名。炭酸銅、水酸化銅などを主成分とする。銅の錆のような緑色のことでもある。古来、絵画の緑色絵の具の代表的なものとしても知られている。,#5F836D,石緑（せきりょく）、孔雀（くじゃく）石からつくられる緑色の色名。,炭酸銅、水酸化銅などを主成分とする。,銅の錆のような緑色のことでもある。,古来、絵画の緑色絵の具の代表的なものとしても知られている。,
鉄色,てついろ,ごく暗い青緑,2.5BG 2.5/2.5,dk14,焼いた鉄の肌のような暗い緑みの青をなぜか鉄色という。鉄は「くろがね」と通称されるのだが、英語で鉄のアイアンはブルーかグレイである。江戸後期には緑みのある青の鉄紺など、鉄を修飾語にした染色の色名がよく見られる。,#244344,焼いた鉄の肌のような暗い緑みの青をなぜか鉄色という。,鉄は「くろがね」と通称されるのだが、英語で鉄のアイアンはブルーかグレイである。,江戸後期には緑みのある青の鉄紺など、鉄を修飾語にした染色の色名がよく見られる。,,
新橋色,しんばしいろ,明るい緑みの青,2.5B 6.5/5.5,lt16+,明治末から大正にかけて流行した、東京・新橋の芸者衆が好んだ着物の色からの色名。新橋芸者は新しいもの好きで、彼女たちがいち早く化学染料の色を取り入れたため、それが新鮮に見えたのだろう。ローカルな町名が色名になった珍しい例。,#69AAC6,明治末から大正にかけて流行した、東京・新橋の芸者衆が好んだ着物の色からの色名。,新橋芸者は新しいもの好きで、彼女たちがいち早く化学染料の色を取り入れたため、それが新鮮に見えたのだろう。,ローカルな町名が色名になった珍しい例。,,
納戸色,なんどいろ,つよい緑みの青,4B 4/6,d16,納戸（物置部屋）の暗がりの色、納戸の幕の色、納戸方の役人の衣服の色など、この色名の説明には諸説があるが、一度にたくさん藍染めをしてそれを納戸にしまっておいたから、という説もある。江戸時代の代表的な藍染めの青の色名。「御納戸色」ともいう。,#166A88,納戸（物置部屋）の暗がりの色、納戸の幕の色、納戸方の役人の衣服の色など、この色名の説明には諸説があるが、一度にたくさん藍染めをしてそれを納戸にしまっておいたから、という説もある。,江戸時代の代表的な藍染めの青の色名。,「御納戸色」ともいう。,,
甕覗き,かめのぞき,やわらかい緑みの青,4.5B 7/4,p16+,別名「のぞきいろ（覗き色）」。糸や布が藍がめをちょっとのぞいただけという意味。当然、ごく薄い藍染めの青になる。中世は薄い藍色を一入染（ひとしおそめ）といった。これは藍がめの中に1回布をくぐらせただけという染色であった。,#8CB4CE,別名「のぞきいろ（覗き色）」。,糸や布が藍がめをちょっとのぞいただけという意味。,当然、ごく薄い藍染めの青になる。,中世は薄い藍色を一入染（ひとしおそめ）といった。,これは藍がめの中に1回布をくぐらせただけという染色であった。
縹色,はなだいろ,つよい青,3PB 4/7.5,d18,藍染めの代表的な青を表す色名。縹は漂から転じた字で藍汁の中に糸がただようことを表していたといわれる。奈良時代からの古い色名だが、中世には花田と書くようになり、近世には花色になった。この花は露草の青い花のことである。,#3C639B,藍染めの代表的な青を表す色名。,縹は漂から転じた字で藍汁の中に糸がただようことを表していたといわれる。,奈良時代からの古い色名だが、中世には花田と書くようになり、近世には花色になった。,この花は露草の青い花のことである。,
藤色,ふじいろ,明るい青紫,10PB 6.5/6.5,lt20+,藤の花房の色からとられた藤色は、明るい青紫を表す代表的な色名。平安時代から使われている伝統的な色名で、清少納言の「枕草子」の一説にも「めでたきもの」の典型として藤の花が登場している。,#A09BD8,藤の花房の色からとられた藤色は、明るい青紫を表す代表的な色名。,平安時代から使われている伝統的な色名で、清少納言の「枕草子」の一説にも「めでたきもの」の典型として藤の花が登場している。,,,
江戸紫,えどむらさき,こい青みの紫,3P 3.5/7,d20,紫を染める紫草は武蔵野（現在の東京郊外）でよく知られていた。名物の少ない新興都市江戸では紫の染色は江戸っ子の自慢の色で、江戸名物を取り上げた蜀山人（しょくさんじん）の狂歌や川柳にも紫が入っている。伝統的な京紫より青みがあるといわれている。,#5F4C86,紫を染める紫草は武蔵野（現在の東京郊外）でよく知られていた。,名物の少ない新興都市江戸では紫の染色は江戸っ子の自慢の色で、江戸名物を取り上げた蜀山人（しょくさんじん）の狂歌や川柳にも紫が入っている。,伝統的な京紫より青みがあるといわれている。,,
古代紫,だいむらさき,くすんだ紫,7.5P 4/6,d22,江戸紫のような近世の紫は今紫、それに対して伝統的な昔ながらの紫を古代紫と称した。この区別を必要としたのは今紫（いまむらさき）ができたから、ということでこれも近世の色名ということになる。,#775686,江戸紫のような近世の紫は今紫、それに対して伝統的な昔ながらの紫を古代紫と称した。,この区別を必要としたのは今紫（いまむらさき）ができたから、ということでこれも近世の色名ということになる。,,,
銀鼠,ぎんねず,明るい灰色,N6.5,Gy-6.5,銀は「しろがね」と呼ばれ、色の形容としては白の美称でもあったので、白に近い灰色の色名になった。江戸時代の無彩色を代表する色名は灰色ではなく鼠色。昔からグレイがもっていた不吉なイメージを、鼠と呼ぶことで粋な流行色に変えた。,#A0A0A0,銀は「しろがね」と呼ばれ、色の形容としては白の美称でもあったので、白に近い灰色の色名になった。,江戸時代の無彩色を代表する色名は灰色ではなく鼠色。,昔からグレイがもっていた不吉なイメージを、鼠と呼ぶことで粋な流行色に変えた。,,
茶鼠,ちゃねずみ,黄赤みの灰色,5YR 6/1,"g8, g6",華美を禁じられた江戸時代に、「四十八茶百鼠（しじゅうはっちゃひゃくねず）」として大流行した、粋とされた色の一つ。当時は茶気鼠（ちゃけねず）といわれた。茶色みの灰色のことであるが、系統色名では黄赤みの灰色となっている。,#9F9190,華美を禁じられた江戸時代に、「四十八茶百鼠（しじゅうはっちゃひゃくねず）」として大流行した、粋とされた色の一つ。,当時は茶気鼠（ちゃけねず）といわれた。,茶色みの灰色のことであるが、系統色名では黄赤みの灰色となっている。,,
利休鼠,りきゅうねずみ,緑みの灰色,2.5G 5/1,g12,利休色は千利休好みの色とされるが、利休が自ら名づけたわけではない。後世の利休のイメージから生まれた色名。抹茶の連想から、利休は緑みのある色の修飾語となるので、利休とつく色はすべて渋い緑みの色である。,#787C7A,利休色は千利休好みの色とされるが、利休が自ら名づけたわけではない。,後世の利休のイメージから生まれた色名。,抹茶の連想から、利休は緑みのある色の修飾語となるので、利休とつく色はすべて渋い緑みの色である。,,
煤竹色,すすたけいろ,赤みを帯びた黄みの暗い灰色,9.5YR 3.5/1.5,dkg6,煤けて赤黒くなった竹のような色を表す。昔は煤払いに竹を用いた。この煤払い用の竹が煤竹である。青竹や若竹より煤竹のほうが早く色名になったのは庶民生活の身近にあったからといえる。近世初期にすでにこの色名が登場している。,#605448,煤けて赤黒くなった竹のような色を表す。,昔は煤払いに竹を用いた。,この煤払い用の竹が煤竹である。,青竹や若竹より煤竹のほうが早く色名になったのは庶民生活の身近にあったからといえる。,近世初期にすでにこの色名が登場している。
ローズピンク,rose pink,明るい紫みの赤,10RP 7/8,lt24+,紫みを帯びたピンク色のバラの花にちなむ色名。ローズという色名は、花の名からとられた英語の色名としては最古のものとされ、最初はレッドとピンクの両方を表していた。JISにはローズレッドという色名もある。,#C74F90,紫みを帯びたピンク色のバラの花にちなむ色名。,ローズという色名は、花の名からとられた英語の色名としては最古のものとされ、最初はレッドとピンクの両方を表していた。,JISにはローズレッドという色名もある。,,
バーガンディー,burgundy,ごく暗い紫みの赤,10RP 2/2.5,dkg24,フランスのブルゴーニュ産の赤ワインのような色を表す色名。バーガンディーはブルゴーニュの英語名。色名の誕生は1915年と新しい。,#452A35,フランスのブルゴーニュ産の赤ワインのような色を表す色名。,バーガンディーはブルゴーニュの英語名。,色名の誕生は1915年と新しい。,,
オールドローズ,old rose,やわらかい赤,1R 6/6.5,sf2,イギリスのビクトリア朝でもてはやされた流行色の色名。英語の色名にオールドという形容がつくと、古い、昔の、という連想から、くすんだ色、グレイッシュな色ということになる。つまりややくすんだ灰みのバラ色ということ。,#C97F96,イギリスのビクトリア朝でもてはやされた流行色の色名。,英語の色名にオールドという形容がつくと、古い、昔の、という連想から、くすんだ色、グレイッシュな色ということになる。,つまりややくすんだ灰みのバラ色ということ。,,
ポピーレッド,poppy red,あざやかな赤,4R 5/14,v2,ポピーは日本語ではヒナゲシのこと。イギリスでは麦畑に自生するありふれた花らしい。花の色には赤、ピンク、白などがあるが、そのうちの赤い花が英語の色名として選ばれた。色名になったのは比較的早く、1705年といわれている。,#DD4157,ポピーは日本語ではヒナゲシのこと。,イギリスでは麦畑に自生するありふれた花らしい。,花の色には赤、ピンク、白などがあるが、そのうちの赤い花が英語の色名として選ばれた。,色名になったのは比較的早く、1705年といわれている。,
マルーン,maroon,暗い赤,5R 2.5/6,dk2,スペイン産の大粒の栗の名前がイタリア語でマローネ、フランス語でマロン、さらに英語でマルーンという色名になった。英語には栗の実の表皮の色のような茶色を表すチェスナットブラウンがあるが、マルーンはそれより赤みのある色をいう。,#682A2B,スペイン産の大粒の栗の名前がイタリア語でマローネ、フランス語でマロン、さらに英語でマルーンという色名になった。,英語には栗の実の表皮の色のような茶色を表すチェスナットブラウンがあるが、マルーンはそれより赤みのある色をいう。,,,
テラコッタ,terracotta,くすんだ黄みの赤,7.5R 4.5/8,d4,イタリア語で「焼いた土」の意味だが、素焼きの陶器などの色のこともいう。テラコッタは古くから用いられていたが、それが英語の色名に取り入れられたのは19世紀の終わり頃のこと。比較的新しい色名である。,#AC5647,イタリア語で「焼いた土」の意味だが、素焼きの陶器などの色のこともいう。,テラコッタは古くから用いられていたが、それが英語の色名に取り入れられたのは19世紀の終わり頃のこと。,比較的新しい色名である。,,
バーントシェンナ,burnt sienna,くすんだ黄赤,10R 4.5/7.5,d4,イタリアのトスカナ地方は美しい土の採掘場として昔から知られていた。その中心都市がシエナで、そこから名づけられたシェンナ土を焼いて赤みのある褐色絵の具にしたものをバーントシェンナと呼び、その絵の具のような色をいう色名。,#A8593C,イタリアのトスカナ地方は美しい土の採掘場として昔から知られていた。,その中心都市がシエナで、そこから名づけられたシェンナ土を焼いて赤みのある褐色絵の具にしたものをバーントシェンナと呼び、その絵の具のような色をいう色名。,,,
ローシェンナ,raw sienna,つよい黄赤,4YR 5/9,dp6,美しい土の採掘場として昔から有名なイタリアのトスカナ地方。そこの土はその中心都市シエナの名前で呼ばれ、絵の具の原料として用いられた。フレスコ画には重要な絵の具で、その色名がローシェンナ。ローは「そのまま」という意味。,#BB6421,美しい土の採掘場として昔から有名なイタリアのトスカナ地方。,そこの土はその中心都市シエナの名前で呼ばれ、絵の具の原料として用いられた。,フレスコ画には重要な絵の具で、その色名がローシェンナ。,ローは「そのまま」という意味。,
タン,tan,くすんだ黄赤,6YR 5/6,d6,カシ、ナラなどの樹皮から採取した汁はタンニン酸を含み、皮をなめすのに使用された。そのなめし革がタン革であり、その色がタンと呼ばれた。16世紀にはすでに英語の色名として記録されている。,#A56F3F,カシ、ナラなどの樹皮から採取した汁はタンニン酸を含み、皮をなめすのに使用された。,そのなめし革がタン革であり、その色がタンと呼ばれた。,16世紀にはすでに英語の色名として記録されている。,,
エクルベイジュ,ecru beige,うすい赤みの黄,7.5YR 8.5/4,p6+,エクルもベイジュもフランス語。エクルは「さらしていない」「生の」という意味。ベイジュも未加工の羊毛のような色のことで、二つあわせても生成りの色ということ。それが19世紀にファッションカラーとなり、流行色の色名になった。,#F8CFAE,エクルもベイジュもフランス語。,エクルは「さらしていない」「生の」という意味。,ベイジュも未加工の羊毛のような色のことで、二つあわせても生成りの色ということ。,それが19世紀にファッションカラーとなり、流行色の色名になった。,
ゴールデンイエロー,golden yellow,つよい赤みの黄,7.5YR 7/10,b6,ルネッサンス初期の絵画では聖人を表す光輪は金粉を使った絵の具で描かれていたが、盛期には黄金の輝きに黄の絵の具が使われた。ゴールドもイエローも語源は同じだが、16世紀頃に金色を感じさせる黄をこの名で呼ぶようになった。,#F39A38,ルネッサンス初期の絵画では聖人を表す光輪は金粉を使った絵の具で描かれていたが、盛期には黄金の輝きに黄の絵の具が使われた。,ゴールドもイエローも語源は同じだが、16世紀頃に金色を感じさせる黄をこの名で呼ぶようになった。,,,
アンバー,amber,くすんだ赤みの黄,8YR 5.5/6.5,d6,アンバー（amber）は琥珀のこと。この色が琥珀そのものからつくられたわけではなく、琥珀のような色のことをいう。16世紀末にはすでに英語の色名になっていた。日本の琥珀色よりはるかに古いのは宝石文化の違いである。,#B37D40,アンバー（amber）は琥珀のこと。,この色が琥珀そのものからつくられたわけではなく、琥珀のような色のことをいう。,16世紀末にはすでに英語の色名になっていた。,日本の琥珀色よりはるかに古いのは宝石文化の違いである。,
バーントアンバー,burnt umber,ごく暗い赤みの黄,10YR 3/3,dkg6,アンバー（umber）はイタリアのウンブリア地方の英語名といわれる。トスカナと並んでウンブリアの土も色が美しく、天然の顔料として西洋諸国で有名だった。その土を焼いて暗褐色にした絵の具の色で、画家のパレットには欠かせないものだった。,#5B462A,アンバー（umber）はイタリアのウンブリア地方の英語名といわれる。,トスカナと並んでウンブリアの土も色が美しく、天然の顔料として西洋諸国で有名だった。,その土を焼いて暗褐色にした絵の具の色で、画家のパレットには欠かせないものだった。,,
ローアンバー,raw umber,暗い黄,2.5Y 4/6,dk8,アンバー（umber）は絵の具の原料に使われるイタリアのウンブリア地方の土のこと。ローは「そのまま」という意味。その土の色あいが欧米各国でも好まれるようになり、英語の色名になった。特に英米では家の壁の色によく用いられる。,#7F5C13,アンバー（umber）は絵の具の原料に使われるイタリアのウンブリア地方の土のこと。,ローは「そのまま」という意味。,その土の色あいが欧米各国でも好まれるようになり、英語の色名になった。,特に英米では家の壁の色によく用いられる。,
ネープルスイエロー,Naples yellow,つよい黄,2.5Y 8/7.5,lt8+,「ナポリの黄」という意味。ネープルスはイタリアのナポリの英語名。中世にはナポリで用いられていたという。この黄の絵の具はナポリ湾岸のヴェスヴィアス火山の鉱物からつくられたと信じられていたので、この名で知られることになった。,#F2C26B,「ナポリの黄」という意味。,ネープルスはイタリアのナポリの英語名。,中世にはナポリで用いられていたという。,この黄の絵の具はナポリ湾岸のヴェスヴィアス火山の鉱物からつくられたと信じられていたので、この名で知られることになった。,
ジョンブリアン,jaune brillant,あざやかな黄,5Y 8.5/14,v8,フランス語で「輝かしい黄色」を意味する色名。中世にナポリの黄として知られていた絵の具に代わって、新しい黄の絵の具がつくられるようになり、それにこの色名が与えられた。今は鮮やかな黄を示す。,#FFCC00,フランス語で「輝かしい黄色」を意味する色名。,中世にナポリの黄として知られていた絵の具に代わって、新しい黄の絵の具がつくられるようになり、それにこの色名が与えられた。,今は鮮やかな黄を示す。,,
シャトルーズグリーン,chartreuse green,明るい黄緑,4GY 8/10,b10,フランスのシャトルーズ修道院でつくられたリキュールが色名の起源。このリキュールには黄色と緑色のものがあり、その緑色のような色を表す。色名はリキュールができた時代よりも新しく、20世紀初頭の流行色の色名である。,#BDD458,フランスのシャトルーズ修道院でつくられたリキュールが色名の起源。,このリキュールには黄色と緑色のものがあり、その緑色のような色を表す。,色名はリキュールができた時代よりも新しく、20世紀初頭の流行色の色名である。,,
リーフグリーン,leaf green,つよい黄緑,5GY 6/7,d10,リーフは葉のことで、木の葉の緑という意味の色名。草色のグラスグリーンとともに自然の黄緑色を表すわかりやすい色名の代表的なもの。しかし、草色ほど古くからある色名ではなく、19世紀の新しい名称とされている。,#879D4E,リーフは葉のことで、木の葉の緑という意味の色名。,草色のグラスグリーンとともに自然の黄緑色を表すわかりやすい色名の代表的なもの。,しかし、草色ほど古くからある色名ではなく、19世紀の新しい名称とされている。,,
グラスグリーン,grass green,くすんだ黄緑,5GY 5/5,d10,英語の色名としては最古のものの一つ。8世紀以前にはすでに知られていたらしい。グラスは草の意味。日本語の草色は雑草の色だが、英語のグラスグリーンはどうやら牧草の色らしい。メドウグリーンなど、よく似た色の色名がほかにもある。,#737C3E,英語の色名としては最古のものの一つ。,8世紀以前にはすでに知られていたらしい。,グラスは草の意味。,日本語の草色は雑草の色だが、英語のグラスグリーンはどうやら牧草の色らしい。,メドウグリーンなど、よく似た色の色名がほかにもある。
アップルグリーン,apple green,やわらかい黄みの緑,10GY 8/5,"sf12, lt12+, p12+",日本でリンゴといえば赤だが、英語のアップルはグリーンの色名になっている。この色名が使われ始めた頃は、リンゴといえば緑だったのだろう。アダムとイヴが蛇の誘惑に負けて手にするリンゴも、絵画作品では青リンゴになっているものが多い。,#B0D3A8,日本でリンゴといえば赤だが、英語のアップルはグリーンの色名になっている。,この色名が使われ始めた頃は、リンゴといえば緑だったのだろう。,アダムとイヴが蛇の誘惑に負けて手にするリンゴも、絵画作品では青リンゴになっているものが多い。,,
ミントグリーン,mint green,明るい緑,2.5G 7.5/8,b12,ミントとはハッカのこと。この色はハッカの油からつくった酒の色といわれている。西洋ハッカのペパーミントや緑ハッカのスペアミントといった色名もあるが、どちらも緑色を表す。すべて20世紀初頭の色名で歴史は浅い。,#81CC91,ミントとはハッカのこと。,この色はハッカの油からつくった酒の色といわれている。,西洋ハッカのペパーミントや緑ハッカのスペアミントといった色名もあるが、どちらも緑色を表す。,すべて20世紀初頭の色名で歴史は浅い。,
マラカイトグリーン,malachite green,こい緑,4G 4.5/9,dp12,マラカイト、日本語で孔雀石と呼ばれる鉱石からつくられた緑色の色名。古代エジプトではすでにこの緑色が知られていて、エジプト人が目を守るまじないにこの緑色を目のまわりに塗ったのがアイラインの始まりだという。,#008047,マラカイト、日本語で孔雀石と呼ばれる鉱石からつくられた緑色の色名。,古代エジプトではすでにこの緑色が知られていて、エジプト人が目を守るまじないにこの緑色を目のまわりに塗ったのがアイラインの始まりだという。,,,
ボトルグリーン,bottle green,ごく暗い緑,5G 2.5/3,dkg12,酒の輸送に使われるのが樽からガラスのボトルとコルク栓に変わったのは17世紀になってから。そのボトルには緑のガラスが使用された。それが薬瓶などにも普及して緑色の瓶の色が色名になったのは19世紀初め。,#264435,酒の輸送に使われるのが樽からガラスのボトルとコルク栓に変わったのは17世紀になってから。,そのボトルには緑のガラスが使用された。,それが薬瓶などにも普及して緑色の瓶の色が色名になったのは19世紀初め。,,
ピーコックグリーン,peacock green,あざやかな青緑,7.5BG 4.5/9,v12,孔雀の羽の緑色のような色の色名。本来、ピーコックはブルーの色名で16世紀の終わりから使用されていた。19世紀にグリーンも色名になったが、どちらで呼ぶのが正しいと決めることはできない。現在はブルーとグリーンの両方が用いられている。,#007F91,孔雀の羽の緑色のような色の色名。,本来、ピーコックはブルーの色名で16世紀の終わりから使用されていた。,19世紀にグリーンも色名になったが、どちらで呼ぶのが正しいと決めることはできない。,現在はブルーとグリーンの両方が用いられている。,
